VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
0,1.1,-0.1,1.06993511,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
1,1,0,1.01622878,2,1,-1,2,2.14764025,1.00155244,-0.78073529,2.07204358,-0.02628229,0.02952805,0.20031049,-0.04092444,0.04385294,0.41440872,
2,0.95945879,-0.17196544,0.79228355,1.74695213,0.6155279,-1,1.65606911,1.87840187,0.57042028,-0.46245874,1.57553287,0.01514108,0.0155193,0.34311862,-0.08303531,0.14259061,0.71541972,
3,0.92423532,-0.29906091,0.68812146,1.54940973,0.32611351,-1,1.40187819,1.25721309,0.06821618,-1.81385945,0.43017731,0.14547921,-0.10583607,0.4077625,0.1105619,-0.0486994,0.7779956,
4,0.91934216,-0.31920556,0.65888079,1.51947875,0.28093103,-1,1.36158888,1.47366635,-0.30668466,-1.10975946,1.07319545,0.15319324,-0.15767245,0.39255529,0.11253077,-0.06091142,0.9647178,
5,0.84230928,-0.36507776,0.52003059,1.31954079,0.11215375,-1,1.26984447,2.09413932,0.07664644,-1.25329933,1.4780398,0.05261697,-0.04423381,0.47540463,0.18322303,-0.099389,1.2134133,
6,0.76387776,-0.4496438,0.46078175,1.07811171,-0.13540985,-1,1.10071239,0.44843661,0.37434428,-1.2113096,0.30887199,0.28592886,-0.25125083,0.63505008,0.19019808,-0.12177312,1.21236256,
7,0.75006182,-0.46959116,0.41467634,1.03053249,-0.1891205,-1,1.06081768,1.05827764,0.53403343,-0.98744946,1.05850089,0.36705786,-0.28936986,0.80268321,0.17055907,-0.09490839,1.36942669,
8,0.66034765,-0.5387905,0.36087361,0.7819048,-0.41723335,-1,0.922419,1.23335965,-0.50299516,-0.71036934,1.577808,0.31766848,-0.24896302,0.75706374,0.22793818,-0.01800058,1.62661915,
9,0.60552986,-0.58978321,0.32839977,0.62127652,-0.57403655,-1,0.82043359,0.55883086,-0.50456782,-0.24421872,1.09463192,0.35548769,-0.32961619,0.74065071,0.18674908,0.13675579,1.75613499,
10,0.56250377,-0.61381085,0.33574803,0.51119669,-0.66511794,-1,0.77237829,1.05759732,-0.39304508,-0.96026235,0.05713871,0.32583424,-0.27717499,0.75943589,0.10576737,0.11735216,1.66186008,
11,0.53461456,-0.59311974,0.26634113,0.47610937,-0.65162492,-1,0.81376052,1.50690218,-0.00012867,-1.04698822,1.54507107,0.26156373,-0.13420538,0.84477088,0.15343619,0.08448409,1.87575017,
12,0.39710295,-0.63832951,0.37574169,0.15587639,-0.87955607,-1,0.72334098,-0.17773033,-1.50356769,-1.64144855,-0.02331969,0.23538118,-0.30175155,0.63043497,0.16493355,-0.06070244,1.751268,
13,0.48647365,-0.53240646,0.31130808,0.44054085,-0.57833926,-1,0.93518709,0.18929458,-0.91217741,-1.64958956,0.35810379,0.20719414,-0.39813179,0.53487507,-0.00134018,-0.17847986,1.68559774,
14,0.4006349,-0.41409118,0.19466472,0.38717862,-0.42754746,-1,1.17181764,0.13258886,-0.16961952,-1.68932972,0.87421177,0.16844547,-0.45224162,0.55961263,-0.13659428,-0.28064984,1.68895702,
15,0.31128672,-0.3460936,0.11787971,0.27647985,-0.38090047,-1,1.3078128,0.18186208,0.03196139,-0.99540327,1.33236244,0.12979101,-0.44993557,0.59251982,-0.22027665,-0.22360052,1.75607555,
16,0.25696871,-0.32517791,0.09490512,0.18875952,-0.3933871,-1,1.34964418,0.65574862,-0.75055192,-0.63962114,1.79394934,0.04518854,-0.33158622,0.45397664,-0.21285438,-0.10680465,1.89372147,
17,0.25183827,-0.3238556,0.08645397,0.17982095,-0.39587293,-1,1.3522888,0.76225974,-0.40529111,-0.81791321,1.98128693,0.02061704,-0.21355233,0.41166533,-0.1465011,-0.04902636,2.0407768,
18,0.23255748,-0.36338573,0.12274625,0.10172923,-0.49421398,-1,1.27322855,-0.42998414,-0.38017787,-0.55445775,1.73802807,0.08036286,-0.34986169,0.39865098,-0.03957655,0.04988736,2.12558134,
19,0.30525075,-0.3852044,0.161869,0.2252971,-0.46515805,-1,1.2295912,0.18070291,-0.79726579,-1.33360827,0.74005523,0.09982668,-0.36584907,0.31354938,-0.01122779,-0.02681176,2.00255788,
20,0.36503343,-0.37789469,0.12999308,0.35217217,-0.39075595,-1,1.24421063,0.49436216,-0.21236927,-1.1732679,1.65405273,0.12459192,-0.33982019,0.35952353,0.02217119,-0.05610299,2.08401473,
21,0.34116606,-0.39092008,0.13850098,0.29141204,-0.44067409,-1,1.21815985,0.50923672,-0.43890239,0.53918598,1.77943114,0.10941214,-0.30647523,0.35620637,-0.03627099,0.2629548,2.17946604,
22,0.29183469,-0.42724951,0.17586769,0.15641986,-0.56266434,-1,1.14550098,0.05133344,-0.82440643,-0.50999635,1.75049677,0.10106109,-0.35164737,0.29098362,0.05965343,0.30836457,2.26457199,
23,0.33601224,-0.45788544,0.17504559,0.21413905,-0.57975863,-1,1.08422913,-0.27032122,-0.6100924,-1.14500155,0.94176015,0.162226,-0.46978704,0.29392259,0.09480294,0.21769135,2.1831638,
24,0.41364461,-0.44324105,0.15511276,0.38404818,-0.47283748,-1,1.11351791,1.07050135,-0.17103874,-1.10408471,0.7429339,0.15632564,-0.32718721,0.37822674,0.02198772,0.15333614,2.07241424,
25,0.34890147,-0.44702147,0.21123818,0.25078147,-0.54514147,-1,1.10595707,-0.16574563,-1.21394014,-0.44780072,1.56887657,0.11885193,-0.43445948,0.23860195,0.02647952,0.23310877,2.15051529,
26,0.39238091,-0.41904658,0.17883248,0.36571524,-0.44571225,-1,1.16190684,0.37322714,-0.22014468,-0.85666479,1.62294647,0.15879314,-0.42987452,0.31447126,-0.00975766,0.21515405,2.21262016,
27,0.34634509,-0.39531979,0.12855765,0.29737038,-0.4442945,-1,1.20936042,0.65844614,-0.44077778,-0.51107447,1.91788797,0.10573221,-0.35074842,0.32154937,-0.02397291,0.26990835,2.31180164,
28,0.29055582,-0.39945387,0.16718223,0.18165777,-0.50835192,-1,1.20109226,-0.15422291,-0.42025863,-0.61202511,1.62944327,0.12761576,-0.42766565,0.33296932,0.00794265,0.29352166,2.33511151,
29,0.32342713,-0.40352824,0.10003544,0.24332602,-0.48362934,-1,1.19294353,0.53461669,-0.04192663,-0.1273416,1.6486772,0.14995376,-0.36458003,0.41940142,-0.02466586,0.40934901,2.35923594,
30,0.26539687,-0.42270229,0.13501941,0.10809145,-0.58000772,-1,1.15459541,0.38575596,-1.31499495,-0.42557461,1.16934943,0.05465143,-0.32067158,0.24160307,0.00218846,0.44236428,2.29033956,
31,0.29619266,-0.45640787,0.15463562,0.13597746,-0.61662307,-1,1.08718426,0.35045548,-0.07498187,-2.21114832,0.4780586,0.12066595,-0.30492323,0.36084922,0.08791841,0.11166176,2.11044651,
