VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
0,1.1,-0.1,1.09774653,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
1,1,0,1.04483648,2,1,-1,2,1.8454613,0.61822007,-0.84183566,2.15530736,0.09968759,-0.07726935,0.30911003,-0.09522285,0.07908217,1.07765368,
2,0.69448834,-0.38032161,0.34313342,1.00865508,-0.06615487,-1,1.23935679,1.4835402,0.69413457,-0.75995926,1.42017423,0.19871357,0.00864708,0.88194391,0.12382838,0.15956145,1.62923556,
3,0.57685437,-0.65782367,0.39948392,0.49588506,-0.73879298,-1,0.68435265,0.34479435,-1.16835848,-0.56586425,0.17365586,0.32098944,-0.40013366,0.51461639,0.02331676,0.2968486,1.55926938,
4,0.66315498,-0.55421987,0.34573676,0.77209008,-0.44528476,-1,0.89156026,1.21664992,-0.0080509,-1.84810935,0.57904174,0.29179327,-0.25489685,0.80750261,0.12214478,-0.27563037,1.62337543,
5,0.42398825,-0.53321965,0.25627081,0.31475686,-0.64245104,-1,0.9335607,0.04181399,-0.2169723,-1.49041832,1.14978611,0.4004051,-0.53052968,0.8284848,0.18382112,-0.38302435,1.91980042,
6,0.35738256,-0.47838585,0.1716763,0.23637927,-0.59938914,-1,1.0432283,0.31499802,-0.57124253,-1.74003493,0.65567057,0.23102115,-0.46514839,0.60700699,0.07826657,-0.56152964,1.76612135,
7,0.35270115,-0.38078297,0.17545152,0.32461934,-0.40886478,-1,1.23843406,0.03948924,-1.19477982,-1.53659571,1.07197125,0.07278178,-0.56553073,0.08689655,0.02498809,-0.54906267,1.79982927,
8,0.45548008,-0.19961081,0.13975258,0.71134935,0.05625846,-1,1.60077838,1.36957717,0.65937965,-1.20492147,1.1024949,0.00501326,-0.05345686,0.57274891,-0.09831023,-0.37699207,1.65077289,
9,0.27423795,-0.4289063,0.12950919,0.1195696,-0.58357465,-1,1.1421874,-0.43830672,-0.51236994,-0.88815651,1.98824114,0.20788564,-0.52011974,0.45909579,0.25626581,-0.13257429,2.24841332,
10,0.4213867,-0.42791179,0.13800656,0.41486162,-0.43443687,-1,1.14417642,0.91667749,-0.24526826,-1.54804672,1.02224628,0.14570848,-0.22310783,0.53482555,0.2430988,-0.3403105,2.06324159,
11,0.36356328,-0.47625573,0.14494246,0.25087084,-0.58894817,-1,1.04748855,0.63025487,-0.34428351,-1.59898615,0.27746176,0.13474946,-0.15998976,0.57152675,0.11820493,-0.46964833,1.6466074,
12,0.3958213,-0.4473487,0.19517438,0.3442939,-0.4988761,-1,1.1053026,1.0340421,-0.62841958,-0.93579098,1.63257439,-0.00752978,0.04120487,0.41890228,0.13126006,-0.20271965,2.0869396,
13,0.28791321,-0.49224567,0.19154743,0.08358075,-0.69657813,-1,1.01550866,-0.02456198,-1.05787952,-0.14727959,0.78300333,0.00940318,-0.27959177,0.17275705,-0.09241867,0.32500038,1.92721713,
14,0.37077599,-0.44280746,0.13070067,0.29874453,-0.51483892,-1,1.11438508,1.44469238,0.64577125,-1.44638849,0.85482996,0.11928958,0.21177431,0.85207161,-0.06880031,-0.06069406,1.83383101,
15,0.18096828,-0.59834631,0.31488435,-0.23640975,-1.01572434,-1,0.80330738,-0.4570139,-1.34276422,-1.32003739,0.22421946,0.13846769,-0.30358807,0.35300001,-0.02451169,-0.19036572,1.62737154,
